etag,id,snippet
ALiRXBbY0Zf9FRzPyoWSGvMAHeY,"{'kind': 'youtube#video', 'videoId': 'WP9Xh_fn13s'}","{'publishedAt': '2022-07-13T07:43:01Z', 'channelId': 'UCb4fy8KoePEYKhJe3-B2WyQ', 'title': '비올때 들을면 좋운노래 노랭 네즈코테마 설정에서 반복재생', 'description': '', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/WP9Xh_fn13s/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/WP9Xh_fn13s/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/WP9Xh_fn13s/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': '응애 피아노', 'liveBroadcastContent': 'none', 'publishTime': '2022-07-13T07:43:01Z'}"
BXWuz2h1k7GNHt9Zj8BJr-It-V0,"{'kind': 'youtube#playlist', 'playlistId': 'PLuiFw_KV4uLpRikpQLvG02TSgY_p-aJCe'}","{'publishedAt': '2022-07-06T01:02:42Z', 'channelId': 'UCFS_5Rjk-IAP_oJepSx-PCA', 'title': '내가 카페 사장이라면 비올 때 카페에서 틀고 싶은 노래(6-5playlist)', 'description': '', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/XReCgXhOg3E/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/XReCgXhOg3E/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/XReCgXhOg3E/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': '째닝', 'liveBroadcastContent': 'none', 'publishTime': '2022-07-06T01:02:42Z'}"
aeUsX31MbTXPU8BTYM3l8fS97Xo,"{'kind': 'youtube#playlist', 'playlistId': 'PLdU0tEuFgKtER4qZ-Z6U_pizJIqseuTno'}","{'publishedAt': '2022-06-29T14:05:57Z', 'channelId': 'UC8HoPbGxdSUxPTfthTpLjVw', 'title': '비올때듣는노래☔️', 'description': '', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/FRtXs73iICo/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/FRtXs73iICo/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/FRtXs73iICo/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': '이혜정', 'liveBroadcastContent': 'none', 'publishTime': '2022-06-29T14:05:57Z'}"
oNtWmfSxTb6P8ZjepTXxIWJNeUs,"{'kind': 'youtube#video', 'videoId': '8Ux4DJgdRA0'}","{'publishedAt': '2022-06-29T13:45:00Z', 'channelId': 'UC_Cfz7XckJBM5cDr8fK0isg', 'title': '[비올 때 듣기 좋은 노래] 아이유 - 잠 못 드는 밤 비는 내리고cover(우나 ver)#비오는날듣기좋은곡 #밤에듣기좋은노래 #아이유', 'description': '요즘 장마가 시작 되서 그런지 비가 정말 많이 오고 있죠!! 이번 노래는 제가 비오는 밤에 듣기 좋은 노래로 준비 했습니다!', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/8Ux4DJgdRA0/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/8Ux4DJgdRA0/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/8Ux4DJgdRA0/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': '순정이들', 'liveBroadcastContent': 'none', 'publishTime': '2022-06-29T13:45:00Z'}"
dper0QVDclHoW3SbrBYsEEeCtm0,"{'kind': 'youtube#video', 'videoId': 'WHCumhPQezc'}","{'publishedAt': '2022-06-29T01:21:56Z', 'channelId': 'UCZvPxtj_4RaPDFGP1k4pEjw', 'title': '💚비올때 듣기 좋은 노래모음 💛고덕영 cover', 'description': '비올때듣기좋은노래#비노래모음#비와당신 #비와외로움#빗속을둘이서#유리창엔비#그댄봄비를무척좋아하나요#봄비#빗물#비가.', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/WHCumhPQezc/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/WHCumhPQezc/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/WHCumhPQezc/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': '고덕영노래교실', 'liveBroadcastContent': 'none', 'publishTime': '2022-06-29T01:21:56Z'}"
9Aek-XBV7uOG00gwmZM9_5ELniE,"{'kind': 'youtube#video', 'videoId': 'OqKY6CIbcDA'}","{'publishedAt': '2022-06-28T09:00:13Z', 'channelId': 'UCHunrbzHns8RhaaLB1g7aCg', 'title': '비올 때 들으면 좋아서 눈물 나는 노래 💧', 'description': '', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/OqKY6CIbcDA/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/OqKY6CIbcDA/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/OqKY6CIbcDA/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'BIG VIP', 'liveBroadcastContent': 'none', 'publishTime': '2022-06-28T09:00:13Z'}"
oBb0PglJc2lx2VqzSTfq5b0VTcI,"{'kind': 'youtube#video', 'videoId': 'j2SB2wzROUs'}","{'publishedAt': '2022-06-24T10:38:27Z', 'channelId': 'UCPWKr8zSiOUyDM10w9UA0Jg', 'title': '여름 비올때 듣고싶은 노래', 'description': '', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/j2SB2wzROUs/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/j2SB2wzROUs/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/j2SB2wzROUs/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': '아.', 'liveBroadcastContent': 'none', 'publishTime': '2022-06-24T10:38:27Z'}"
S38bEDeTdb9Ry2zgyVobhXm-uic,"{'kind': 'youtube#video', 'videoId': 'NE4HqShrZuU'}","{'publishedAt': '2022-06-23T12:49:49Z', 'channelId': 'UCwYtRdH7F7GV2JCqEGky1mA', 'title': '[playlist] 비올때 듣는 태연 노래 ☔️', 'description': '저는 수익을 창출하지않고 있으며, 모든 광고 수익은 원저작권자에게 돌아갑니다. ☑️광고는 자동으로 붙고 있습니다 - 영상과 관련 ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/NE4HqShrZuU/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/NE4HqShrZuU/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/NE4HqShrZuU/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': '탱구덕', 'liveBroadcastContent': 'none', 'publishTime': '2022-06-23T12:49:49Z'}"
IQ547-u10IgT3g9s38uoV-Db6_M,"{'kind': 'youtube#playlist', 'playlistId': 'PLTgcgTg7g4UMAUdX91lnDY8z5Ys3ccLvj'}","{'publishedAt': '2022-06-23T06:20:32Z', 'channelId': 'UCFmixxwPp2eUN-kmdnHYWQQ', 'title': '비올때 듣기좋은 노래 ☔️', 'description': '', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/sySlY1XKlhM/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/sySlY1XKlhM/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/sySlY1XKlhM/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': '차갱갱', 'liveBroadcastContent': 'none', 'publishTime': '2022-06-23T06:20:32Z'}"
RvoX5dEXvdo3Agzxg3vn6uBVyzE,"{'kind': 'youtube#video', 'videoId': '2KXSmOPXp2c'}","{'publishedAt': '2022-06-21T09:47:14Z', 'channelId': 'UCLnCaR73ngnMJhZl730d9tQ', 'title': '일할때 듣기좋은 발라드 추천 광고없는 노래모음 💖 하루 종일 들어도 좋은노래 BEST 100곡 💖 너는 나의 봄이다, 나를 잊지 말아요, 기억을 가져가, 천개의 그리움...', 'description': '일할때 듣기좋은 발라드 추천 광고없는 노래모음 하루 종일 들어도 좋은노래 BEST 100곡 너는 나의 봄이다, 나를 잊지 말아요, ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/2KXSmOPXp2c/default_live.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/2KXSmOPXp2c/mqdefault_live.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/2KXSmOPXp2c/hqdefault_live.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'K-POP 발라드 모음', 'liveBroadcastContent': 'live', 'publishTime': '2022-06-21T09:47:14Z'}"
